;id;chain;velocity;data_len;vs_len;mean_bias;mean_uncrt;swot_mean_bias;swot_mean_uncrt;rmse_c;rmse_s;rmse_n;rmse_r;rmse_sc;rmse_ss;rmse_sn;rmse_sr;nse_c;nse_s;nse_n;nse_r;nse_sc;nse_ss;nse_sn;nse_sr;x;y
25;41895;518728.8377065484;0.8333333333333334;703;11;0.09538554943395867;0.07776933158584536;0.08762282142653224;0.080099573257468;0.238;0.298;0.238;0.31;0.29;0.379;0.289;0.31;0.958;0.934;0.958;0.929;0.937;0.893;0.938;0.929;8.3563;49.8648
26;41897;478239.2477053198;0.8333333333333334;547;12;0.09855102774023909;0.07255555555555557;0.08445971697788617;0.07560511882998172;0.378;0.362;0.214;0.271;0.447;0.497;0.261;0.272;0.769;0.788;0.926;0.881;0.675;0.599;0.89;0.88;8.0022;49.9892
27;41899;448733.0573867012;0.8333333333333334;381;12;0.10851329887701576;0.06250096339113681;0.09415026162734993;0.06904461942257219;0.356;0.377;0.341;0.636;0.397;0.453;0.397;0.637;0.903;0.891;0.911;0.691;0.879;0.843;0.88;0.69;7.7233;50.1131
28;41900;439615.0889590909;0.8333333333333334;353;12;0.1323790824001173;0.07499811676082863;0.11567776314722142;0.073643059490085;0.331;0.323;0.283;0.533;0.409;0.454;0.501;0.534;0.923;0.927;0.944;0.801;0.883;0.856;0.824;0.801;7.6803;50.1702
29;41903;361011.36655822257;0.8333333333333334;551;15;0.17312885281059745;0.09838709677419354;0.14370857533981002;0.10072595281306715;0.392;0.493;0.392;0.48;0.512;0.585;0.492;0.481;0.909;0.857;0.909;0.864;0.846;0.799;0.858;0.864;7.2126;50.6159
30;41904;344723.1882694637;0.8333333333333334;590;15;0.16497518504631756;0.09867177522349936;0.13486748153239306;0.10094915254237288;0.377;0.381;0.364;0.582;0.48;0.742;0.481;0.582;0.916;0.914;0.922;0.8;0.864;0.675;0.864;0.8;7.1106;50.7364
31;41905;185542.2744992548;0.8333333333333334;798;12;0.0984712534034803;0.05973094688221709;0.09042978338701176;0.05795739348370927;0.376;0.422;0.331;0.405;0.358;0.337;0.356;0.405;0.949;0.936;0.961;0.941;0.954;0.959;0.954;0.941;6.6041;51.6472
32;41931;255202.3656464955;0.8333333333333334;610;10;0.11207742050460717;0.08684815950920245;0.10446445168718545;0.0777049180327869;0.404;0.505;0.379;0.419;0.419;0.593;0.4;0.42;0.928;0.887;0.936;0.922;0.922;0.844;0.929;0.922;6.7681;51.2277
33;41956;620656.3421110414;0.8333333333333334;347;6;0.1717951202379814;0.08579892761394103;0.15918240662776598;0.08596541786743517;0.529;0.758;0.422;0.487;0.527;0.835;0.375;0.488;0.709;0.403;0.815;0.753;0.711;0.276;0.854;0.753;8.3714;49.1732
34;42212;286924.6073327868;0.8333333333333334;599;10;0.14012395485136864;0.10039473684210527;0.1312866952623004;0.09257095158597663;0.44;0.422;0.499;0.543;0.474;0.684;0.492;0.543;0.913;0.92;0.888;0.867;0.899;0.789;0.891;0.867;6.8662;51.0934
35;42213;310050.6355811434;0.8333333333333334;588;11;0.15480224634820602;0.10620298507462687;0.14352219515287412;0.09986394557823129;0.52;0.631;0.454;0.643;0.546;0.751;0.498;0.644;0.879;0.822;0.908;0.815;0.866;0.748;0.889;0.815;6.9696;50.9495
36;42229;155115.09893184;0.8333333333333334;678;13;0.11345550182804738;0.0613957783641161;0.09554349465753795;0.054926253687315636;0.44;0.489;0.453;0.587;0.435;0.607;0.412;0.587;0.931;0.914;0.927;0.877;0.932;0.868;0.939;0.877;6.3222;51.7849
37;42230;191596.00402084127;0.8333333333333334;796;12;0.09948453222182767;0.06183680555555556;0.09151201784454277;0.060238693467336686;0.349;0.398;0.338;0.439;0.367;0.566;0.406;0.439;0.951;0.936;0.954;0.922;0.945;0.87;0.933;0.922;6.5974;51.5972
38;42231;203559.35044007513;0.8333333333333334;776;12;0.09680928316821469;0.063728672985782;0.08839045726641294;0.06225515463917526;0.348;0.354;0.319;0.443;0.376;0.604;0.386;0.444;0.95;0.949;0.958;0.92;0.942;0.85;0.939;0.919;6.6792;51.549
39;42232;226223.0572000419;0.8333333333333334;698;12;0.10253436539653019;0.0695823754789272;0.0936255320151813;0.0665759312320917;0.347;0.434;0.315;0.428;0.406;0.576;0.375;0.428;0.946;0.916;0.956;0.919;0.927;0.853;0.938;0.918;6.7447;51.399
40;42250;329284.42405398306;0.8333333333333334;571;13;0.16270250661467553;0.09991977077363896;0.13774957961519554;0.1005954465849387;0.399;0.404;0.413;0.608;0.5;0.694;0.471;0.607;0.916;0.914;0.91;0.804;0.867;0.744;0.882;0.804;6.9806;50.8325
41;42253;354100.5027576764;0.8333333333333334;579;15;0.1699468785222225;0.09797927461139896;0.14089586900181553;0.10006908462867012;0.378;0.384;0.373;0.582;0.469;0.761;0.5;0.583;0.915;0.913;0.918;0.8;0.87;0.658;0.853;0.8;7.1878;50.6739
42;42254;380559.4754125349;0.8333333333333334;450;16;0.17082113454085818;0.09003216374269007;0.14098685791390103;0.0948888888888889;0.423;0.418;0.413;0.512;0.582;0.82;0.491;0.513;0.884;0.887;0.889;0.83;0.78;0.563;0.843;0.829;7.3437;50.4771
43;42255;398583.78326083376;0.8333333333333334;372;18;0.16796338707290623;0.08727591463414634;0.13176817953044564;0.09501612903225808;0.44;0.44;0.458;0.699;0.67;1.023;0.68;0.7;0.874;0.874;0.864;0.683;0.708;0.321;0.699;0.682;7.5437;50.4207
44;42256;541241.8384851414;0.8333333333333334;722;12;0.09674754489605791;0.08149222797927462;0.08880695781349156;0.0837257617728532;0.275;0.31;0.269;0.318;0.301;0.387;0.315;0.318;0.943;0.928;0.946;0.924;0.932;0.888;0.926;0.924;8.4423;49.726
45;42257;563003.0734622289;0.8333333333333334;635;10;0.13552800365326642;0.08838888888888889;0.12564637420813626;0.08951181102362206;0.322;0.334;0.3;0.353;0.317;0.403;0.293;0.354;0.93;0.925;0.939;0.916;0.932;0.89;0.942;0.916;8.4239;49.5753
46;42258;608584.541384691;0.8333333333333334;408;7;0.16424591077110806;0.08288709677419356;0.1530379937169542;0.08284313725490197;0.554;0.738;0.444;0.488;0.556;0.908;0.384;0.489;0.68;0.432;0.794;0.751;0.677;0.14;0.846;0.751;8.4406;49.2628
47;42259;628708.0773413485;0.8333333333333334;284;5;0.1890454919177169;0.08794516129032258;0.17529531279849853;0.08834507042253523;0.528;0.647;0.425;0.484;0.52;0.694;0.383;0.485;0.711;0.566;0.813;0.757;0.72;0.501;0.848;0.756;8.3621;49.1029
48;42970;460983.4636213527;0.8333333333333334;415;12;0.0991972667711249;0.06298010849909584;0.08294488949961253;0.06914698795180724;0.432;0.425;0.357;0.463;0.526;0.51;0.387;0.464;0.742;0.751;0.824;0.703;0.618;0.641;0.793;0.703;7.8211;50.028
49;45491;705911.4892764302;0.8333333333333334;179;5;0.19175909187597343;0.09337;0.163770442340274;0.08776536312849162;0.335;0.333;0.343;0.232;0.324;0.351;0.339;0.233;0.589;0.593;0.569;0.802;0.616;0.548;0.579;0.802;7.8;48.5785
50;45497;736333.3047541411;0.8333333333333334;101;4;0.22661361663429866;0.0888032786885246;0.18481862642110514;0.07792079207920792;0.434;0.416;0.42;0.433;0.415;0.413;0.42;0.433;-0.145;-0.052;-0.074;-0.139;-0.043;-0.037;-0.068;-0.139;7.7429;48.3247
51;45499;769722.4028869971;0.8333333333333334;41;2;0.24089520794246333;0.08616000000000001;0.23981974310867188;0.08463414634146342;0.735;0.767;0.729;0.728;0.729;0.761;0.729;0.729;0.055;-0.029;0.072;0.073;0.073;-0.01;0.073;0.073;7.5721;48.0696
52;13594;375605.8688414262;0.8333333333333334;479;14;0.18185142018689826;0.09717261904761905;0.15152805338667766;0.09937369519832988;0.441;0.611;0.513;0.537;0.505;0.759;0.567;0.537;0.871;0.754;0.827;0.81;0.832;0.619;0.788;0.81;7.3022;50.5129
53;13592;265371.7492164789;0.8333333333333334;602;10;0.11338156383629314;0.09229037267080746;0.10575347734193033;0.08340531561461795;0.456;0.39;0.418;0.45;0.496;0.626;0.441;0.45;0.909;0.933;0.923;0.911;0.889;0.823;0.912;0.911;6.7511;51.181
54;13595;478158.6745010143;0.8333333333333334;695;14;0.101120600254101;0.07068489208633094;;;0.416;0.458;0.192;0.447;;;;;0.717;0.658;0.94;0.673;;;;;8.0015;49.9885
55;13655;576599.063334679;0.8333333333333334;523;8;0.14953849184247744;0.08387762906309752;;;0.399;0.384;0.373;1.099;;;;;0.884;0.893;0.898;0.118;;;;;8.4576;49.4637
56;13654;496430.0356822418;0.8333333333333334;670;10;0.09715520920482497;0.0786179104477612;;;0.404;0.397;0.271;0.41;;;;;0.812;0.818;0.915;0.806;;;;;8.237;50.0345
57;13593;249178.9869991226;0.8333333333333334;609;10;0.11905425674531886;0.08485550082101806;;;0.435;0.442;0.444;1.024;;;;;0.921;0.919;0.918;0.563;;;;;6.7118;51.262
58;13585;171105.88402882448;0.8333333333333334;810;13;0.10879730001915731;0.06289629629629631;;;0.425;0.419;0.916;1.683;;;;;0.925;0.927;0.651;-0.179;;;;;6.45;51.7062
59;13584;179517.16052236455;0.8333333333333334;803;12;0.10233795765988336;0.05961021170610211;;;0.436;0.482;0.422;0.85;;;;;0.935;0.921;0.94;0.754;;;;;6.5271;51.662
